# Coexpression analysis
# Three gene sets from MSigDB, March 13
# MIC
# GeneA	GeneB	MIC.val
8517	7224	0.308406254230169
8517	7226	0.233003339719253
8517	56302	0.248454376575804
8517	197	0.269192510033186
8517	1175	0.286597491253746
8517	382	0.265777914669245
8517	566	0.246079754433395
8517	867	0.272105470971968
8517	1012	0.252595421032511
8517	2624	0.289446988741329
8517	26119	0.219112044912808
8517	29763	0.280121261970129
8517	5538	0.208459685553074
8517	5879	0.272411059443257
8517	6441	0.299720347352466
8517	11037	0.237467351363125
8517	9765	0.245373657042816
3848	7462	0.616829231346525
3848	10892	0.319346688664021
3848	4153	0.513054212683903
3848	5788	0.357623553164241
3848	7070	0.510059657506259
3848	7189	0.371013453108524
3848	50852	0.332765100928067
3848	7334	0.303738280608063
3848	487	0.526932393800835
3848	489	0.422714304261352
3848	27032	0.27003126629279
3848	776	0.54101668120621
3848	781	0.427498679644216
3848	784	0.410812698847127
3848	785	0.427402327838471
3848	6355	0.358891103449564
3848	1447	0.492935171744301
3848	10316	0.438435094950335
3848	4852	0.447748280676976
3848	5350	0.433742427154472
3848	6261	0.431454152179147
3848	6263	0.409798940779295
3848	6546	0.479372033794917
3848	6588	0.492263092505835
3848	6786	0.536077459293357
3848	7220	0.310660992748091
3848	7222	0.536413168812137
3848	7223	0.304937355093553
3848	7224	0.440811761296305
3848	7226	0.419188368011242
3848	56302	0.384905818028064
3848	197	0.396399814424014
3848	1175	0.339803854685899
3848	382	0.253628618237268
3848	566	0.452277567967792
3848	867	0.457075770040954
3848	1012	0.335809138034258
3848	2624	0.59255741648667
3848	26119	0.307470071821668
3848	29763	0.397193607705132
3848	5538	0.302154617911245
3848	5879	0.366489363350591
3848	6441	0.423522337960276
3848	11037	0.363629632893905
3848	9765	0.261097123795908
7462	10892	0.345526890803294
7462	4153	0.420490209368589
7462	5788	0.339802334704468
7462	7070	0.573662705975837
7462	7189	0.446507923938515
7462	50852	0.355003958990514
7462	7334	0.297168786926304
7462	487	0.703935460022643
7462	489	0.488073261720763
7462	27032	0.365523536709974
7462	776	0.696200357090906
7462	781	0.492721460141373
7462	784	0.541702243059946
7462	785	0.533521575648874
7462	6355	0.390491125753778
7462	1447	0.622281171411691
