# Coexpression analysis
# Randomly chosen genes, March 17
# MIC
# GeneA	GeneB	MIC.val.random
50632	22982	0.589007427070842
50632	83700	0.515802980399274
50632	2968	0.362257533601652
50632	5253	0.34551184737892
50632	8420	0.472384332762253
50632	695	0.307232662872264
50632	1418	0.376345536886861
50632	3069	0.267304716032926
50632	7043	0.596719892964735
50632	23172	0.302777018480252
50632	84148	0.488065189839143
50632	11013	0.546097529734904
50632	55707	0.260312834205045
50632	5601	0.415774570665034
6702	51151	0.386162266905205
6702	1780	0.469779192849356
6702	51616	0.447787461267334
6702	1796	0.182124663200958
6702	5148	0.473469289887462
6702	2218	0.328637383962473
6702	7204	0.338114639944583
6702	23225	0.335444154820704
6702	22982	0.490230322730089
6702	83700	0.423029422808496
6702	2968	0.334493193542819
6702	5253	0.423490380819632
6702	8420	0.542724582060337
6702	695	0.276181233370621
6702	1418	0.464812525535976
6702	3069	0.201745139924137
6702	7043	0.440941173951628
6702	23172	0.374628398195744
6702	84148	0.540711959455873
6702	11013	0.429626719710718
6702	55707	0.270306027781581
6702	5601	0.249089725843153
51151	1780	0.460435773366952
51151	51616	0.529997012570447
51151	1796	0.28101845867277
51151	5148	0.537389688868662
51151	2218	0.36493791773082
51151	7204	0.352054417954046
51151	23225	0.282929344391508
51151	22982	0.534041183415774
51151	83700	0.478778188959547
51151	2968	0.427462871178532
51151	5253	0.468941255165446
51151	8420	0.562602974500771
51151	695	0.230466325342387
51151	1418	0.386876831860868
51151	3069	0.285046610749002
51151	7043	0.52008287423824
51151	23172	0.310615630563387
51151	84148	0.447028687941337
51151	11013	0.45071262412113
51151	55707	0.301324133294827
51151	5601	0.31951604303572
1780	51616	0.579803413430422
1780	1796	0.264265668945868
1780	5148	0.588991486853465
1780	2218	0.483417640271308
1780	7204	0.372288166981074
1780	23225	0.306323452847793
1780	22982	0.725030978703728
1780	83700	0.564334723997774
1780	2968	0.409907771185933
1780	5253	0.468095427062553
1780	8420	0.608817094672683
1780	695	0.358900158496587
1780	1418	0.445082629734144
1780	3069	0.291532191696996
1780	7043	0.677056180760738
1780	23172	0.456464468811876
1780	84148	0.563298799378526
1780	11013	0.528023749143561
1780	55707	0.277192979202916
1780	5601	0.469184714837912
51616	1796	0.250568649933057
51616	5148	0.59608387798272
51616	2218	0.409375465118545
51616	7204	0.354526398527053
51616	23225	0.266974611330122
51616	22982	0.550761110965702
51616	83700	0.54973636542321
51616	2968	0.340059022989019
51616	5253	0.446076950775764
51616	8420	0.578545334422145
51616	695	0.305255460316879
51616	1418	0.404470079266245
51616	3069	0.22586186565111
51616	7043	0.626169372159679
51616	23172	0.421764609445862
51616	84148	0.468350100499845
51616	11013	0.534232621023874
51616	55707	0.247063973694208
51616	5601	0.288245174184548
1796	5148	0.309190372190483
1796	2218	0.2404642678913
1796	7204	0.274430257527216
1796	23225	0.217343120814676
1796	22982	0.298805363878075
1796	83700	0.253128175146851
1796	2968	0.246662440213002
1796	5253	0.257008807899107
1796	8420	0.268952301606471
1796	695	0.225849396825131
1796	1418	0.270627428139079
1796	3069	0.22296618000693
1796	7043	0.288909065842878
1796	23172	0.218593982810891
1796	84148	0.267366567101596
1796	11013	0.310966211782389
1796	55707	0.317952139349883
1796	5601	0.215736662243118
5148	2218	0.387736130942456
5148	7204	0.35714178221972
5148	23225	0.28993194554958
5148	22982	0.593245307658383
5148	83700	0.551856415650953
5148	2968	0.479983344259882
5148	5253	0.564418099262589
5148	8420	0.693413095521133
5148	695	0.331023205475091
5148	1418	0.452266529366662
5148	3069	0.287656643345674
5148	7043	0.746656070481006
5148	23172	0.361326675002442
5148	84148	0.666535984487325
5148	11013	0.606051480468349
5148	55707	0.363354356087407
5148	5601	0.275224278758702
2218	7204	0.331574572389957
2218	23225	0.242320844973335
2218	22982	0.481954124323036
2218	83700	0.427988092332409
2218	2968	0.405669438130053
2218	5253	0.286989855646981
2218	8420	0.401428220233794
2218	695	0.245311593298641
2218	1418	0.341091282095155
2218	3069	0.247889973178891
2218	7043	0.485428268510531
2218	23172	0.255749347880609
2218	84148	0.381699273473755
2218	11013	0.402133382612612
2218	55707	0.244569365094408
2218	5601	0.372553767909722
7204	23225	0.294663571614291
7204	22982	0.429490125768532
7204	83700	0.411011491206109
7204	2968	0.319265432995715
7204	5253	0.32749984638124
7204	8420	0.398654872411154
7204	695	0.277357699413147
7204	1418	0.325288088021101
7204	3069	0.247760284493848
7204	7043	0.376993583446371
7204	23172	0.297150262450437
7204	84148	0.377504092640669
7204	11013	0.385566011980608
7204	55707	0.231716883238083
7204	5601	0.24569971763977
23225	22982	0.373968306166587
23225	83700	0.346711796867604
23225	2968	0.241792329351375
