Input Value	Input Type	Gene ID	
ENSG00000011405	Ensembl Gene ID	5286	
ENSG00000011422	Ensembl Gene ID	5329	
ENSG00000011426	Ensembl Gene ID	54443	
ENSG00000011451	Ensembl Gene ID	58525	
ENSG00000011454	Ensembl Gene ID	2844; 23637	
ENSG00000011465	Ensembl Gene ID	1634	
ENSG00000011478	Ensembl Gene ID	54814	
ENSG00000011485	Ensembl Gene ID	5536	
ENSG00000011523	Ensembl Gene ID	23177	
ENSG00000011566	Ensembl Gene ID	8491	
ENSG00000011590	Ensembl Gene ID	27033	
ENSG00000011600	Ensembl Gene ID	7305	
ENSG00000011638	Ensembl Gene ID	57146	
ENSG00000011677	Ensembl Gene ID	2556	
ENSG00000012048	Ensembl Gene ID	672	
ENSG00000012061	Ensembl Gene ID	2067	
ENSG00000012124	Ensembl Gene ID	933	
ENSG00000012171	Ensembl Gene ID	7869	
ENSG00000012174	Ensembl Gene ID	51360	
ENSG00000012211	Ensembl Gene ID	4007	
ENSG00000012223	Ensembl Gene ID	4057	
ENSG00000012232	Ensembl Gene ID	2137	
ENSG00000012504	Ensembl Gene ID	9971	
ENSG00000012660	Ensembl Gene ID	60481	
ENSG00000012779	Ensembl Gene ID	240	
ENSG00000012817	Ensembl Gene ID	8284	
ENSG00000012822	Ensembl Gene ID	57658	
ENSG00000012963	Ensembl Gene ID	55148	
ENSG00000012983	Ensembl Gene ID	11183	
ENSG00000013016	Ensembl Gene ID	30845	
ENSG00000013275	Ensembl Gene ID	5704	
ENSG00000013288	Ensembl Gene ID	23324	
ENSG00000013293	Ensembl Gene ID	57709	
ENSG00000013297	Ensembl Gene ID	5010	
ENSG00000013306	Ensembl Gene ID	51629	
ENSG00000013364	Ensembl Gene ID	9961	
ENSG00000013374	Ensembl Gene ID	51667	
ENSG00000013375	Ensembl Gene ID	5238	
ENSG00000013392	Ensembl Gene ID	112611	
ENSG00000013441	Ensembl Gene ID	1195	
ENSG00000013503	Ensembl Gene ID	55703	
ENSG00000013523	Ensembl Gene ID	23357	
ENSG00000013561	Ensembl Gene ID	9604	
ENSG00000013563	Ensembl Gene ID	1774	
ENSG00000013573	Ensembl Gene ID	1663	
ENSG00000013583	Ensembl Gene ID	50865	
ENSG00000013588	Ensembl Gene ID	9052	
ENSG00000013619	Ensembl Gene ID	10046	
ENSG00000013725	Ensembl Gene ID	923	
ENSG00000013810	Ensembl Gene ID	10460	
ENSG00000014123	Ensembl Gene ID	23376	
ENSG00000014138	Ensembl Gene ID	23649	
ENSG00000014164	Ensembl Gene ID	23144	
ENSG00000014216	Ensembl Gene ID	823	
ENSG00000014257	Ensembl Gene ID	55	
ENSG00000014641	Ensembl Gene ID	4190	
ENSG00000014824	Ensembl Gene ID	10463	
ENSG00000014914	Ensembl Gene ID	10903	
ENSG00000014919	Ensembl Gene ID	1355	
ENSG00000015133	Ensembl Gene ID	440193	
ENSG00000015153	Ensembl Gene ID	10138	
ENSG00000015171	Ensembl Gene ID	10771	
ENSG00000015285	Ensembl Gene ID	7454	
ENSG00000015413	Ensembl Gene ID	1800	
ENSG00000015475	Ensembl Gene ID	637	
ENSG00000015479	Ensembl Gene ID	-	
ENSG00000015520	Ensembl Gene ID	29881	
ENSG00000015532	Ensembl Gene ID	64132	
ENSG00000015568	Ensembl Gene ID	727851; 84220; 285190; 729540	
ENSG00000015592	Ensembl Gene ID	81551	
ENSG00000015676	Ensembl Gene ID	23386	
