"","Gene 1","Gene 2","PATHNEScore"
1997,51616,3069,0
1998,51616,7043,0.0362991471397293
1999,51616,26749,0
2000,51616,574499,0
2001,51616,23172,0
2002,51616,149281,0
2003,51616,17,0
2004,51616,100420149,0
2005,51616,100128589,0
2006,51616,100874235,0
2007,51616,390318,0
2008,51616,100129650,0
2009,51616,359732,0
2010,51616,100419098,0
2011,51616,58499,0
2012,51616,326286,0
2013,51616,100874208,0
2014,51616,442195,0
2015,51616,84148,0
2016,51616,11013,0
2017,51616,102466727,0
2018,51616,166336,0.0207667731629393
2019,51616,83982,0
2020,51616,442720,0
2021,51616,55707,0
2022,51616,5601,0.0499369868217861
2023,51616,100272220,0
2024,51616,220885,0
2025,1796,5148,0
2026,1796,319087,0
2027,1796,401409,0
2028,1796,7212,0
2029,1796,100873800,0
2030,1796,2218,0
2031,1796,100616225,0
2032,1796,100189182,0
2033,1796,7204,0
2034,1796,102465855,0
2035,1796,100131012,0
2036,1796,403275,0
2037,1796,728971,0
2038,1796,100873910,0
2039,1796,693212,0
2040,1796,285016,0
2041,1796,23225,0.0066006600660066
2042,1796,89838,0
2043,1796,375295,0
2044,1796,100419187,0
2045,1796,151531,0
2046,1796,100271101,0
2047,1796,84838,0
2048,1796,100303728,0
2049,1796,100048905,0
2050,1796,100129480,0
2051,1796,100996539,0
2052,1796,22982,0
2053,1796,553194,0
2054,1796,100422533,0
2055,1796,280664,0
2056,1796,100505953,0
2057,1796,643873,0
2058,1796,83700,0.0227848024610615
2059,1796,123099,0.0209205020920502
2060,1796,50631,0
2061,1796,2968,0.032258064516129
2062,1796,5253,0
2063,1796,253314,0.0665032106241426
2064,1796,574028,0
2065,1796,390181,0
2066,1796,100271161,0
2067,1796,642819,0
2068,1796,100506888,0
2069,1796,8420,0
2070,1796,695,0.0783590013347582
2071,1796,344387,0
2072,1796,1418,0
2073,1796,3069,0
2074,1796,7043,0.0843542812126646
2075,1796,26749,0
2076,1796,574499,0
2077,1796,23172,0
2078,1796,149281,0
2079,1796,17,0
2080,1796,100420149,0
2081,1796,100128589,0
2082,1796,100874235,0
2083,1796,390318,0
2084,1796,100129650,0
2085,1796,359732,0
2086,1796,100419098,0
2087,1796,58499,0
2088,1796,326286,0
2089,1796,100874208,0
2090,1796,442195,0
2091,1796,84148,0
2092,1796,11013,0
2093,1796,102466727,0
2094,1796,166336,0.0339622641509434
2095,1796,83982,0
2096,1796,442720,0
2097,1796,55707,0
2098,1796,5601,0.0983177158017844
2099,1796,100272220,0
2100,1796,220885,0
2101,5148,319087,0
2102,5148,401409,0
2103,5148,7212,0
2104,5148,100873800,0
2105,5148,2218,0
2106,5148,100616225,0
2107,5148,100189182,0
2108,5148,7204,0
2109,5148,102465855,0
2110,5148,100131012,0
2111,5148,403275,0
2112,5148,728971,0
2113,5148,100873910,0
2114,5148,693212,0
2115,5148,285016,0
2116,5148,23225,0
2117,5148,89838,0
2118,5148,375295,0
2119,5148,100419187,0
2120,5148,151531,0.0819799686723505
2121,5148,100271101,0
2122,5148,84838,0
2123,5148,100303728,0
2124,5148,100048905,0
2125,5148,100129480,0
2126,5148,100996539,0
