"","Gene 1","Gene 2","GOSEMScore"
"453",150372,6261,0.4735
"454",150372,6263,0.535
"455",150372,6546,0.476
"456",150372,6588,0.585
"457",150372,6786,0.5075
"458",150372,57620,0.301
"459",150372,7220,0.458
"460",150372,7222,0.5235
"461",150372,7223,0.3265
"462",150372,7224,0.4585
"463",150372,7226,0.392
"464",150372,56302,0.3885
"465",150372,197,0.2205
"466",150372,1175,0.3685
"467",150372,382,0.362
"468",150372,566,0.2305
"469",150372,867,0.4165
"470",150372,1012,0.3365
"471",150372,2624,0.2085
"472",150372,26119,0.3195
"473",150372,5538,0.346
"474",150372,5879,0.4525
"475",150372,6441,0.2345
"476",150372,9765,0.274
"477",5788,84174,0.4935
"478",5788,7070,0.6975
"479",5788,7189,0.4885
"480",5788,50852,0.553
"481",5788,7334,0.3575
"482",5788,487,0.3505
"483",5788,489,0.251
"484",5788,27032,0.4175
"485",5788,776,0.439
"486",5788,781,0.326
"487",5788,784,0.359
"488",5788,785,0.4175
"489",5788,6355,0.2585
"490",5788,1139,0.519
"491",5788,1447,0.276
"492",5788,10316,0.477
"493",5788,56923,0.4355
"494",5788,4852,0.353
"495",5788,84876,0.414
"496",5788,5350,0.3445
"497",5788,6261,0.4495
"498",5788,6263,0.3145
"499",5788,6546,0.493
"500",5788,6588,0.3695
"501",5788,6786,0.3645
"502",5788,57620,0.365
"503",5788,7220,0.478
"504",5788,7222,0.532
"505",5788,7223,0.491
"506",5788,7224,0.465
"507",5788,7226,0.394
"508",5788,56302,0.4005
"509",5788,197,0.4095
"510",5788,1175,0.4715
"511",5788,382,0.52
"512",5788,566,0.4095
"513",5788,867,0.404
"514",5788,1012,0.568
"515",5788,2624,0.2625
"516",5788,26119,0.348
"517",5788,29763,0.261
"518",5788,5538,0.395
"519",5788,5879,0.624
"520",5788,6441,0.378
"521",5788,124912,0.3265
"522",5788,11037,0.2565
"523",5788,9765,0.2485
"524",84174,7070,0.4685
"525",84174,7189,0.5625
"526",84174,50852,0.566
"527",84174,7334,0.412
"528",84174,487,0.2805
"529",84174,489,0.2945
"530",84174,27032,0.357
"531",84174,776,0.342
"532",84174,784,0.302
"533",84174,785,0.3235
"534",84174,1139,0.394
"535",84174,10316,0.432
"536",84174,56923,0.3885
"537",84174,84876,0.306
"538",84174,5350,0.298
"539",84174,6261,0.342
"540",84174,6263,0.2625
"541",84174,6546,0.306
"542",84174,6588,0.284
"543",84174,6786,0.35
"544",84174,57620,0.3905
"545",84174,7220,0.3255
"546",84174,7222,0.422
"547",84174,7223,0.249
"548",84174,7224,0.3055
"549",84174,7226,0.3055
"550",84174,56302,0.303
"551",84174,1175,0.474
"552",84174,382,0.361
"553",84174,566,0.2755
"554",84174,867,0.53
"555",84174,1012,0.3675
"556",84174,2624,0.314
"557",84174,26119,0.3735
"558",84174,29763,0.2945
"559",84174,5538,0.2515
"560",84174,5879,0.4085
"561",84174,6441,0.3035
"562",84174,124912,0.2965
"563",84174,85439,0.2795
"564",84174,9765,0.472
"565",7070,7189,0.4775
"566",7070,50852,0.4705
"567",7070,7334,0.3655
"568",7070,487,0.4395
"569",7070,489,0.399
"570",7070,27032,0.472
"571",7070,776,0.4535
"572",7070,781,0.3335
"573",7070,784,0.37
"574",7070,785,0.447
"575",7070,6355,0.2275
"576",7070,1139,0.4515
"577",7070,1447,0.2845
"578",7070,10316,0.436
"579",7070,56923,0.406
"580",7070,4852,0.304
"581",7070,84876,0.381
"582",7070,5350,0.4225
"583",7070,6261,0.5045
"584",7070,6263,0.3635
"585",7070,6546,0.477
"586",7070,6588,0.4655
"587",7070,6786,0.4835
"588",7070,57620,0.4525
"589",7070,7220,0.476
"590",7070,7222,0.484
"591",7070,7223,0.522
"592",7070,7224,0.458
"593",7070,7226,0.368
"594",7070,56302,0.4025
"595",7070,197,0.387
"596",7070,1175,0.4475
"597",7070,382,0.62
"598",7070,566,0.378
"599",7070,867,0.441
"600",7070,1012,0.655
"601",7070,2624,0.288
"602",7070,26119,0.464
"603",7070,29763,0.3275
"604",7070,5538,0.515
"605",7070,5879,0.6135
"606",7070,6441,0.3425
"607",7070,124912,0.3205
"608",7070,11037,0.267
"609",7070,9765,0.319
"610",7189,50852,0.459
"611",7189,7334,0.6585
"612",7189,487,0.3975
"613",7189,489,0.2815
"614",7189,27032,0.355
"615",7189,776,0.3415
"616",7189,784,0.318
"617",7189,785,0.3825
"618",7189,6355,0.231
"619",7189,1139,0.397
"620",7189,10316,0.318
"621",7189,56923,0.2735
"622",7189,84876,0.2565
"623",7189,5350,0.38
"624",7189,6261,0.3635
"625",7189,6263,0.219
"626",7189,6546,0.33
"627",7189,6588,0.272
"628",7189,6786,0.359
"629",7189,57620,0.3045
"630",7189,7220,0.301
"631",7189,7222,0.3125
"632",7189,7223,0.253
"633",7189,7224,0.245
"634",7189,197,0.274
"635",7189,1175,0.449
"636",7189,382,0.349
"637",7189,566,0.3165
"638",7189,867,0.5245
"639",7189,1012,0.3685
"640",7189,2624,0.374
"641",7189,26119,0.4725
"642",7189,29763,0.2665
"643",7189,5538,0.349
"644",7189,5879,0.5255
"645",7189,6441,0.334
"646",7189,124912,0.272
"647",7189,85439,0.282
"648",7189,9765,0.391
"649",50852,7334,0.363
"650",50852,487,0.2985
"651",50852,489,0.2755
"652",50852,27032,0.3835
"653",50852,776,0.456
"654",50852,781,0.2695
"655",50852,784,0.3785
"656",50852,785,0.419
"657",50852,6355,0.213
"658",50852,1139,0.599
"659",50852,10316,0.637
"660",50852,56923,0.5555
"661",50852,84876,0.53
"662",50852,5350,0.2635
"663",50852,6261,0.361
"664",50852,6263,0.397
"665",50852,6546,0.4515
"666",50852,6588,0.358
"667",50852,6786,0.4365
"668",50852,57620,0.3885
"669",50852,7220,0.6045
"670",50852,7222,0.6295
"671",50852,7223,0.381
"672",50852,7224,0.521
"673",50852,7226,0.512
"674",50852,56302,0.507
"675",50852,197,0.2265
"676",50852,1175,0.513
"677",50852,382,0.326
"678",50852,566,0.2055
"679",50852,867,0.5585
"680",50852,1012,0.37
"681",50852,2624,0.208
"682",50852,26119,0.352
"683",50852,5538,0.208
"684",50852,5879,0.427
"685",50852,6441,0.224
"686",50852,11037,0.322
"687",50852,9765,0.299
"688",7334,487,0.278
"689",7334,489,0.2215
"690",7334,27032,0.244
"691",7334,776,0.2615
"692",7334,781,0.2345
"693",7334,784,0.2995
"694",7334,785,0.2855
"695",7334,6355,0.221
"696",7334,1139,0.287
"697",7334,4852,0.2485
"698",7334,5350,0.2475
"699",7334,6261,0.267
"700",7334,6786,0.247
"701",7334,7220,0.212
"702",7334,197,0.3905
"703",7334,1175,0.4215
"704",7334,382,0.291
"705",7334,566,0.3905
"706",7334,867,0.479
"707",7334,1012,0.3405
"708",7334,2624,0.349
"709",7334,26119,0.3855
"710",7334,29763,0.3505
"711",7334,5538,0.3655
"712",7334,5879,0.4795
"713",7334,6441,0.389
"714",7334,124912,0.343
"715",7334,11037,0.2685
"716",7334,85439,0.2495
"717",7334,9765,0.342
"718",487,489,0.6295
"719",487,27032,0.5405
"720",487,776,0.55
"721",487,781,0.3135
"722",487,784,0.437
"723",487,785,0.416
"724",487,6355,0.2355
"725",487,1139,0.4845
"726",487,1447,0.204
"727",487,10316,0.41
"728",487,56923,0.449
"729",487,4852,0.205
"730",487,84876,0.409
"731",487,5350,0.611
"732",487,6261,0.627
"733",487,6263,0.4945
"734",487,6546,0.57
"735",487,6588,0.543
"736",487,6786,0.5235
"737",487,57620,0.4705
"738",487,7220,0.439
"739",487,7222,0.471
"740",487,7223,0.467
"741",487,7224,0.436
"742",487,7226,0.3605
"743",487,56302,0.363
"744",487,197,0.2185
"745",487,1175,0.3185
"746",487,382,0.361
"747",487,566,0.245
"748",487,867,0.316
"749",487,1012,0.2775
"750",487,2624,0.2815
"751",487,26119,0.367
"752",487,29763,0.2355
"753",487,5538,0.3855
"754",487,5879,0.3795
"755",487,6441,0.2645
"756",487,124912,0.2345
"757",487,11037,0.22
"758",487,85439,0.227
"759",487,9765,0.3095
"760",489,27032,0.567
"761",489,776,0.403
"762",489,781,0.4585
"763",489,784,0.4845
"764",489,785,0.475
"765",489,6355,0.2465
"766",489,1139,0.4015
"767",489,1447,0.3515
"768",489,10316,0.3625
"769",489,56923,0.3685
"770",489,4852,0.2065
"771",489,84876,0.513
"772",489,5350,0.5195
"773",489,6261,0.591
"774",489,6263,0.6515
"775",489,6546,0.416
"776",489,6588,0.6095
"777",489,6786,0.741
"778",489,57620,0.708
"779",489,7220,0.48
"780",489,7222,0.479
"781",489,7223,0.5455
"782",489,7224,0.5105
"783",489,7226,0.54
"784",489,56302,0.501
"785",489,197,0.241
"786",489,1175,0.349
"787",489,382,0.3255
"788",489,566,0.256
"789",489,867,0.295
"790",489,1012,0.233
"791",489,2624,0.304
"792",489,26119,0.4075
